place_en,facility_en,rise,length,facility_lat_lng,detail_en,detail_th
Faculty of Information and Communication Technology,Toilet,,,,"1st Floor, near the laboratory",ชั้น 1 ฝั่งห้องปฏิบัติการ
Faculty of Information and Communication Technology,Toilet,,,,"2nd Floor, near the first-aid room",ชั้น 2 ฝั่งห้องปฐมพยาบาล
Faculty of Information and Communication Technology,Toilet,,,,"3rd Floor, at both ends of the hallway",ชั้น 3 ฝั่งซ้ายสุดและขวาสุดของชั้น
Faculty of Information and Communication Technology,Toilet,,,,"4th Floor, near the Bit and Byte Hall and ICT Grand Auditorium",ชั้น 4 ฝั่งห้องประชุม Bit and Byte และห้องประชุม Grand Auditorium
Faculty of Information and Communication Technology,Elevator,,,,"Accessible elevator, reachable buttons",รองรับผู้ใช้วีลแชร์ในระดับที่เอื้อมถึงได้ง่าย
Faculty of Information and Communication Technology,Assistance,,,,Security Officer in front of the building entrance,เจ้าหน้าที่รักษาความปลอดภัยบริเวณทางเข้าหน้าอาคาร
Faculty of Information and Communication Technology,Ramp,100.0,1410.0,"13.794781563587577, 100.32479573099108",At the building entrance,ทางขึ้นคณะ
Faculty of Information and Communication Technology,Ramp,10.0,210.0,"13.794003617193068, 100.32481239752353",At the connecting pathway from the Office of the President,ทางเชื่อมเข้าคณะจากสำนักงานอธิการบดี
Faculty of Information and Communication Technology,Ramp,850.0,1595.0,"13.795124010020528, 100.3248219954286",At the connecting pathway from the road near the Faculty of Engineering Building 1,ทางเชื่อมเข้าคณะจากถนนฝั่งอาคารวิศวะ 1
Faculty of Information and Communication Technology,Ramp,25.0,565.0,"13.795120281600736, 100.3247452121881",At the connecting pathway from Mahidol University Library and Knowledge Center,ทางเชื่อมเข้าคณะจากหอสมุดและคลังความรู้
Mahidol University Library and Knowledge Center,Toilet,,,,"1st Floor, near the Co-MU Space",ชั้น 1 บริเวณ Co-MU Space
Mahidol University Library and Knowledge Center,Toilet,,,,"2nd Floor, near the Book Collection room",ชั้น 2 บริเวณห้อง Book Collection
Mahidol University Library and Knowledge Center,Toilet,,,,"3rd Floor, near the Thesis, Journal, Special Collection room","ชั้น 3 บริเวณห้อง Thesis, Journal, Special Collection"
Mahidol University Library and Knowledge Center,Elevator,,,,Left most of the building next to the Co-MU Space,ฝั่งซ้ายสุดติดกับ Co-MU Space
Mahidol University Library and Knowledge Center,Assistance,,,,Security Officer in front of the building entrance,เจ้าหน้าที่รักษาความปลอดภัยบริเวณทางเข้าหน้าอาคาร
Mahidol University Library and Knowledge Center,Assistance,,,,Staffs at the entrance counter ,เจ้าหน้าที่ประชาสัมพันธ์ ติดต่อจากเคาท์เตอร์บริเวณทางเข้าอาคาร
Mahidol University Library and Knowledge Center,Ramp,104.0,1000.0,"13.795114264272186, 100.32394957862287",On the left side of the building entrance (next to road),"ทางเข้าห้องสมุดฝั่งซ้ายมือ (ติดถนน)"
Mahidol University Library and Knowledge Center,Ramp,150.0,1500.0,"13.794971319035861, 100.32395562756696",On the left side of the building entrance,ทางเข้าห้องสมุดฝั่งซ้ายมือ
Mahidol University Library and Knowledge Center,Ramp,112.0,440.0,"13.794607018775443, 100.32391462248323",On the right side of the building entrance (next to the cover way),ทางเข้าห้องสมุดฝั่งขวามือ (จาก cover way)
Mahidol University Library and Knowledge Center,Ramp,100.0,1091.0,,At the Co-MU Space entrance,ทางเข้า Co-MU Space
Mahidol University Library and Knowledge Center,Surface,,,,Rough and broken ramp surface on the left side of the building entrance (next to road),"ทางขึ้นทางลาดบริเวณห้องสมุดฝั่งซ้ายมือ (ติดถนน) ขรุขระ และมีการชำรุด"
Mahidol University Library and Knowledge Center,Surface,,,,Smooth and slippery ramp surface at the Co-MU Space entrance,ทางเข้า Co-MU Space มีลักษณะเรียบลื่น
Lecture Theater 2,Toilet,,,,"1st Floor, near the Pathumma 102 room",ชั้น 1 บริเวณหน้าห้องปทุมมา 102
Lecture Theater 2,Elevator,,,,"Inclined Wheelchair Platform Stair Lifts near the L2-001 (upstairs direction), Sritrang 101 room (downstairs direction)",ลิฟท์บันไดสำหรับวีลแชร์ ฝั่งห้อง L2-001 (ขาขึ้น) ฝั่งห้องศรีตรัง 101 (ขาลง) 
Lecture Theater 2,Ramp,,,"13.793530187579124, 100.3232652905274",Next to the cover way from the Faculty of Science Building 1-2,ติดกับ cover way จาก อาคารคณะวิทยาศาสตร์ 1-2
Lecture Theater 1,Toilet,,,,"1st Floor, near the Ruangpueng 101 room",ชั้น 1 บริเวณหน้าห้องรวงผึ้ง 101
Lecture Theater 1,Elevator,,,,"Inclined Wheelchair Platform Stair Lifts near the L1-001 (upstairs direction) , Ruangpueng 101 room (downstairs direction)",ลิฟท์บันไดสำหรับวีลแชร์ ฝั่งห้อง L1-001 (ขาขึ้น) ฝั่งห้องรวงผึ้ง 101 (ขาลง)
Lecture Theater 1,Ramp,,,"13.793523416157152, 100.3248377101997",Next to the cover way from the Faculty of Social Sciences and Humanities,ติดกับ cover way จาก อาคารคณะสังคมศาสตร์และมนุษยศาสตร์
Faculty of Science Building 1-2,Toilet,,,,"1st Floor, opposite of SC2-109 room",ชั้น 1 ตรงข้ามห้อง SC2-109
Faculty of Science Building 1-2,Toilet,,,,"1st Floor, opposite of SC1-107 room",ชั้น 1 ตรงข้ามห้อง SC1-107
Faculty of Science Building 1-2,Elevator,,,,"1st Floor, SC-2 building at the left end of the hallway",ชั้น 1 ฝั่งซ้ายสุดของตึก SC-2
Faculty of Science Building 1-2,Assistance,,,,Security Officer at the building entrance next to the cover way,เจ้าหน้าที่รักษาความปลอดภัยบริเวณทางเข้า ติด cover way
Faculty of Science Building 1-2,Assistance,,,,Security Officer at the building entrance next to the road,เจ้าหน้าที่รักษาความปลอดภัยบริเวณทางเข้า ติดถนน
Faculty of Science Building 1-2,Parking,,,,The parking space of the Faculty of Science Building,ที่จอดรถรวมอาคารคณะวิทยาศาสตร์
Faculty of Science Building 1-2,Ramp,75.0,316.0,"13.792105844558609, 100.32361263731065",In front of the building,ทางเข้าหน้าอาคาร
Faculty of Social Sciences and Humanities,Toilet,,,,"1st Floor, SH-1 building (near the Lecture Theater 1)",ชั้น 1 อาคาร SH-1 (ฝั่งอาคารบรรยายรวม 1)
Faculty of Social Sciences and Humanities,Toilet,,,,"1st Floor, SH-3 building (near the front of the building)",ชั้น 1 อาคาร SH-3 (ฝั่งหน้าคณะ)
Faculty of Social Sciences and Humanities,Toilet,,,,"1st Floor, SH-4 building (next to the elevator near the Lecture Theater 1)",ชั้น 1 อาคาร SH-4 (บริเวณทางขึ้นลิฟต์ฝั่งอาคารบรรยายรวม 1)
Faculty of Social Sciences and Humanities,Toilet,,,,"2nd Floor, SH-4 building (next to the elevator near the Lecture Theater 1)",ชั้น 2 อาคาร SH-4 (บริเวณทางขึ้นลิฟต์ฝั่งอาคารบรรยายรวม 1)
Faculty of Social Sciences and Humanities,Toilet,,,,"3rd Floor, SH-4 building (next to the elevator near the Lecture Theater 1)",ชั้น 3 อาคาร SH-4 (บริเวณทางขึ้นลิฟต์ฝั่งอาคารบรรยายรวม 1)
Faculty of Social Sciences and Humanities,Toilet,,,,"4th Floor, SH-4 building (next to the elevator near the Lecture Theater 1)",ชั้น 4 อาคาร SH-4 (บริเวณทางขึ้นลิฟต์ฝั่งอาคารบรรยายรวม 1)
Faculty of Social Sciences and Humanities,Toilet,,,,"5th Floor, SH-4 building (next to the elevator near the Lecture Theater 1)",ชั้น 5 อาคาร SH-4 (บริเวณทางขึ้นลิฟต์ฝั่งอาคารบรรยายรวม 1)
Faculty of Social Sciences and Humanities,Elevator,,,,SH-4 building (near the Lecture Theater 1),อาคาร SH-4 (บริเวณฝั่งอาคารบรรยายรวม 1)
Faculty of Social Sciences and Humanities,Elevator,,,,SH-4 building (near the Mahidol University International College),อาคาร SH-4 (บริเวณฝั่งวิทยาลัยนานาชาติ)
Faculty of Social Sciences and Humanities,Assistance,,,,"Contact the Office of the Dean, SH-3 building",ติดต่อที่สำนักงานคณบดี อาคาร SH-3
Faculty of Social Sciences and Humanities,Ramp,60.0,506.0,"13.792085698489, 100.3248359827935",In front of the building entrance,หน้าคณะสังคมศาสตร์และมนุษยศาสตร์
