place_en,place_th,place_category_en,place_address_en,place_address_th,place_phone_number,place_website_url,place_image,lat_lng,place_code
"Café Amazon for Chance, Faculty of Environment and Resource Studies",Café Amazon for Chance สาขาคณะสิ่งแวดล้อมและทรัพยากรศาสตร์,Cafe,"Badhanatala Environment Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", อาคารสิ่งแวดล้อมพัฒนดล มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(062) 594-5407,https://www.cafe-amazon.com/index.aspx,https://lh5.googleusercontent.com/p/AF1QipPXBCmpablpo8DLfwXOcTYcQMxjdMCtgVXf_shO=s1920,"13.795044516482365, 100.32161014224005",
"Café Amazon for Chance, Office of the President",Café Amazon for Chance สาขาสำนักงานอธิกานบดี,Cafe,"Office of the President, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", สำนักงานอธิการบดี มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(062) 594-5421,https://www.cafe-amazon.com/index.aspx,https://lh5.googleusercontent.com/p/AF1QipMx3U7Y2SCvF73QeVTWwB4SeXQz-wyfZssWLz9T=s1920,"13.793846379683266, 100.32538018493254",
"Cafeteria, International College",โรงอาหารวิทยาลัยนานาชาติ,Food,"Mahidol University International College, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", วิทยาลัยนานาชาติ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,https://lh5.googleusercontent.com/p/AF1QipObYhes7kV8kAQO6-At7BGGofyrYV-prx9z69lC=s1920,"13.79263400232518, 100.32618924316272",
"Cafeteria, Faculty of Engineering",โรงอาหารคณะวิศวกรรมศาสตร์,Food,"Faculty of Engineering Building 1, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", อาคารคณะวิศวกรรมศาสตร์ 1 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,,"13.795932148994398, 100.32456917043532",
"Cafeteria, Faculty of Social Sciences and Humanities",โรงอาหารคณะสังคมศาสตร์และมนุษยศาสตร์,Food,"Faculty of Social Sciences and Humanities, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", คณะสังคมศาสตร์และมนุษยศาสตร์ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,,"13.79310843903763, 100.32534879244777",
Chaofaa Garden,สวนเจ้าฟ้า,Park,, ,,,,"13.792353080878604, 100.32120738668446",CFG
Somdej Phra Rajabida Court,ลานสมเด็จพระราชบิดา,Park,,,,,https://lh5.googleusercontent.com/p/AF1QipNiYUP-ivaal7jdgF230OmUOMybIendB0wzamuz=s1920,"13.792977144117328, 100.32119558800444",SPRC
Chiangrai Coffee,เชียงราย คอฟฟี่,Cafe,, ,(064) 775-9635,,https://lh5.googleusercontent.com/p/AF1QipOnwczI84z1XlIcLIDqO9o_siz2jnRYiKgXn9Qg=s1920,"13.792592286357985, 100.32223233341944",
Class Cafe @ Co-MU Space,คลาสคาเฟ่ สาขา Co-MU Space,Cafe,, ,,,,"13.794744904662318, 100.3243095206528",
"Inthanin Coffee, International College",อินทนิลคอฟฟี่ สาขาวิทยาลัยนานาชาติ,Cafe,, ,024410758,https://www.inthanincoffee.com/,https://lh5.googleusercontent.com/p/AF1QipOwy_MBsD7WhT-D5QiytQISeP4tiaHF4erO3P8x=s1920,"13.79260643345208, 100.32548203099014",
