place_en,place_th,lat_lng,status,accessible_bus_line,accessible_tram
Mahidol University Salaya (Gate 2),ม.มหิดล ศาลายา (ประตู 2),"13.792379734789272, 100.3273097061812",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Opposite Mahidol University Salaya (Gate 2),ตรงข้ามม.มหิดล ศาลายา (ประตู 2),"13.79293651235469, 100.32760443547531",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Mahidol University Salaya (Gate 4),ม.มหิดล ศาลายา (ประตู 4),"13.797039057437285, 100.32714593741208",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Opposite Mahidol University Salaya (Gate 4),ตรงข้ามม.มหิดล ศาลายา (ประตู 4),"13.796427674737881, 100.32746957749639",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Salaya Clock Tower,หอนาฬิกาศาลายา,"13.800147869878261, 100.32698497152126",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Opposite Salaya Clock Tower,ตรงข้ามหอนาฬิกาศาลายา,"13.799990705906866, 100.32728166997575",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Opposite Salaya Station,ตรงข้ามสถานีศาลายา,"13.80110781957348, 100.32482994339551",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Salaya Station,สถานีศาลายา,"13.801296993652663, 100.32413629765985",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Opposite Phuttamonthon District Office,ตรงข้ามที่ว่าการอำเภอพุทธมณฑล,"13.801202776800992, 100.322461449716",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Phuttamonthon District Office,ที่ว่าการอำเภอพุทธมณฑล,"13.801464388561273, 100.32203318721992",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Mahidol Wittayanusorn School,โรงเรียนมหิดล วิทยานุสรณ์,"13.801436070139538, 100.31765709457376",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Opposite Mahidol Wittayanusorn School,ตรงข้ามโรงเรียนมหิดล วิทยานุสรณ์,"13.801558249837388, 100.3181839734886",Accessible,"124/45-1,547,515/4-61,163/4-55,4-67",
Salaya Link Station,ท่ารถศาลายาลิงค์,"13.788062156587515, 100.3249188900617",Accessible,Salaya Link,
Mahidol University (College of Music),ม.มหิดล (วิทยาลัยดุริยางคศิลป์),"13.78793883722893, 100.32456329102752",Inaccessible,,
Prince Mahidol Hall,มหิดลสิทธาคาร,"13.787703616877062, 100.32128350828496",Inaccessible,,
Ratchasuda College,วิทยาลัยราชสุดา,"13.787409591103456, 100.32460365758381",Inaccessible,,
Entrance Golden Jubilee Medical Center,ทางเข้าศูนย์การแพทย์กาญจนาภิเษก,"13.78734098503633, 100.32293853711131",Inaccessible,,
Golden Jubilee Medical Center (Stop 1),ศูนย์การแพทย์กาญจนาภิเษก (จุดที่ 1),"13.787223374586388, 100.32193946483488",Inaccessible,,
Golden Jubilee Medical Center (Stop 2),ศูนย์การแพทย์กาญจนาภิเษก (จุดที่ 2),"13.787105764076621, 100.32059727682368",Inaccessible,,
Exit Golden Jubilee Medical Center,ทางออกศูนย์การแพทย์กาญจนาภิเษก,"13.787233175446783, 100.31957802126637",Inaccessible,,
Parking 2 (Line 3),ลานจอดรถ 2 (สาย 3),"13.790394975343542, 100.32248957863966",Inaccessible,,"Red,Yellow"
National Institute for Child (Line 2),สถาบันแห่งชาติเพื่อการพัฒนาเด็กและครอบครัว (สาย 2),"13.798841418418993, 100.319404704469",Inaccessible,,Blue
Faculty of Science Building 3-4,อาคารคณะวิทยาศาสตร์ 3-4,"13.791954928468819, 100.32193003924809",Inaccessible,,"Red,Yellow,Green"
